Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2	Miền
Quảng Ninh	('21.006517', '107.344252')	34.06	41	4.97	1001	06/07/2021 12:00	66	8.0		20.0	2.0	5.0	66.0	1
Gia Lai	('13.998599', '107.996482')	25.12	83	3.63	1004	06/07/2021 14:00	14	3.0	7.0	8.0	11.0	12.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	74	1.54	1002	06/07/2021 14:00	32	7.0	11.0	10.0	21.0	32.0	27.0	2
Cao Bằng	('22.6782', '106.245')	35.86	43	1.16	1001	06/07/2021 14:00	87		0.0	1.0	87.0	50.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	46	0.86	1000	06/07/2021 14:00	27		7.0	27.0	9.0	16.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	44	2.03	1001	06/07/2021 14:00	47	5.0	2.0		38.0	47.0	5.0	1
Hà Nội	('21.0491', '105.8831')	31.01	47	4.66	1000	06/07/2021 14:00	16	5.0	11.0	16.0	12.0	12.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	45	5.04	1000	06/07/2021 14:00	78	1.0	16.0	14.0	55.0	78.0	35.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	45	5.04	1000	06/07/2021 13:00	65	8.0		20.0	2.0	6.0	65.0	1
Gia Lai	('13.998599', '107.996482')	24.23	89	3.36	1005	06/07/2021 15:00	14	3.0	6.0	9.0	10.0	13.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	70	0.51	1001	06/07/2021 15:00	30	8.0	11.0	12.0	20.0	30.0	27.0	2
Cao Bằng	('22.6782', '106.245')	35.03	49	0.89	1001	06/07/2021 15:00	82		0.0	1.0	82.0	50.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	33.92	47	1.4	1000	06/07/2021 15:00	33		9.0	33.0	7.0	12.0		1
Thái Nguyên	('21.593151', '105.8431043')	33.88	46	2.4	1000	06/07/2021 15:00	45	6.0	8.0		39.0	45.0	8.0	1
Hà Nội	('21.0491', '105.8831')	34.01	44	4.46	1000	06/07/2021 15:00	16	8.0	11.0	16.0	11.0	10.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.06	45	5.6	1000	06/07/2021 15:00	64	1.0	6.0	18.0	49.0	64.0	37.0	1
Quảng Ninh	('21.006517', '107.344252')	34.06	45	5.6	1000	06/07/2021 14:00	65	8.0		20.0	2.0	10.0	65.0	1
Gia Lai	('13.998599', '107.996482')	23.13	94	2.77	1005	06/07/2021 16:00	14	3.0	6.0	9.0	10.0	13.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	74	1.54	1001	06/07/2021 16:00	31	7.0	11.0	14.0	22.0	31.0	28.0	2
Cao Bằng	('22.6782', '106.245')	32.85	62	0.72	1002	06/07/2021 16:00	86		0.0	1.0	86.0	52.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	34.92	54	1.76	1000	06/07/2021 16:00	30		7.0	30.0	6.0	11.0		1
Thái Nguyên	('21.593151', '105.8431043')	34.88	52	2.64	1001	06/07/2021 16:00	46	5.0	8.0		40.0	46.0	9.0	1
Hà Nội	('21.0491', '105.8831')	35.01	47	4.62	1000	06/07/2021 16:00	14	10.0	11.0	14.0	9.0	9.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	35.06	49	6.44	1001	06/07/2021 16:00	59	1.0	5.0	18.0	46.0	59.0	43.0	1
Quảng Ninh	('21.006517', '107.344252')	35.06	49	6.44	1001	06/07/2021 15:00	65	8.0		20.0	2.0	7.0	65.0	1
Gia Lai	('13.998599', '107.996482')	21.04	95	2.2	1007	06/07/2021 19:00	17	4.0	8.0	7.0	16.0	17.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	83	0.51	1004	06/07/2021 19:00	32	13.0	11.0	9.0	23.0	32.0	27.0	2
Cao Bằng	('22.6782', '106.245')	28.33	76	1.0	1005	06/07/2021 19:00	123		0.0	1.0	122.0	123.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.92	63	2.91	1004	06/07/2021 19:00	28		6.0	28.0	6.0	11.0		1
Thái Nguyên	('21.593151', '105.8431043')	32.88	71	3.09	1004	06/07/2021 19:00	68	6.0	9.0		55.0	68.0	8.0	1
Hà Nội	('21.0491', '105.8831')	33.01	66	4.88	1004	06/07/2021 19:00	11	11.0	11.0	9.0	9.0	7.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	33.06	68	5.32	1004	06/07/2021 19:00	39	1.0	6.0	12.0	36.0	39.0	35.0	1
Quảng Ninh	('21.006517', '107.344252')	33.06	68	5.32	1004	06/07/2021 18:00	66	9.0		20.0	1.0	3.0	66.0	1
Gia Lai	('13.998599', '107.996482')	19.41	93	1.68	1009	04/07/2021 00:00	30	1.0	5.0	4.0	23.0	30.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	74	1.54	1005	04/07/2021 00:00	33	2.0	11.0	10.0	20.0	21.0	33.0	2
Cao Bằng	('22.6782', '106.245')	25.41	95	0.31	1004	04/07/2021 00:00	93		0.0	1.0	93.0	93.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	71	0.8	1002	04/07/2021 00:00	27		4.0	20.0	14.0	27.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	76	1.86	1002	04/07/2021 00:00	117	7.0	13.0		64.0	117.0	4.0	1
Hà Nội	('21.0491', '105.8831')	32.01	74	3.82	1002	04/07/2021 00:00	18	4.0	11.0	9.0	18.0	18.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	76	4.38	1002	04/07/2021 00:00	109	1.0	12.0	14.0	64.0	109.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	76	4.38	1002	03/07/2021 23:00	59	8.0		20.0	1.0	2.0	59.0	1
Gia Lai	('13.998599', '107.996482')	18.73	92	1.75	1008	04/07/2021 01:00	38	2.0	9.0	2.0	28.0	38.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	74	2.06	1005	04/07/2021 01:00	32	2.0	11.0	8.0	21.0	22.0	32.0	2
Cao Bằng	('22.6782', '106.245')	25.53	94	0.64	1004	04/07/2021 01:00	78		0.0	1.0	74.0	78.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	31.92	75	0.93	1002	04/07/2021 01:00	27		6.0	23.0	14.0	27.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	78	1.45	1002	04/07/2021 01:00	120	6.0	13.0		64.0	120.0	5.0	1
Hà Nội	('21.0491', '105.8831')	32.01	72	3.03	1002	04/07/2021 01:00	19	2.0	11.0	14.0	17.0	19.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	73	3.67	1002	04/07/2021 01:00	91	1.0	8.0	13.0	56.0	91.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	73	3.67	1002	04/07/2021 00:00	59	8.0		20.0	2.0	4.0	59.0	1
Gia Lai	('13.998599', '107.996482')	18.6	92	1.64	1008	05/07/2021 00:00	24	1.0	6.0	8.0	18.0	24.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	69	2.57	1005	05/07/2021 00:00	33	2.0	10.0	10.0	26.0	33.0	27.0	2
Cao Bằng	('22.6782', '106.245')	25.77	96	1.54	1005	05/07/2021 00:00	154		0.0	1.0	96.0	154.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	86	2.17	1004	05/07/2021 00:00	22		3.0	22.0	10.0	18.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	89	1.86	1004	05/07/2021 00:00	141	6.0	16.0		80.0	141.0	8.0	1
Hà Nội	('21.0491', '105.8831')	30.01	81	3.47	1004	05/07/2021 00:00	16	2.0	11.0	16.0	10.0	13.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	82	3.72	1004	05/07/2021 00:00	61	1.0	6.0	15.0	44.0	61.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	82	3.72	1004	04/07/2021 23:00	61	9.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	18.3	92	1.8	1008	05/07/2021 01:00	20	1.0	6.0	7.0	15.0	20.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	74	1.03	1004	05/07/2021 01:00	29	1.0	11.0	9.0	22.0	29.0	27.0	2
Cao Bằng	('22.6782', '106.245')	25.49	97	1.49	1005	05/07/2021 01:00	147		0.0	1.0	90.0	147.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	88	1.96	1003	05/07/2021 01:00	26		4.0	26.0	10.0	18.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	90	2.08	1004	05/07/2021 01:00	130	7.0	19.0		77.0	130.0	15.0	1
Hà Nội	('21.0491', '105.8831')	30.01	80	3.34	1003	05/07/2021 01:00	18	2.0	11.0	18.0	10.0	13.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	83	3.44	1004	05/07/2021 01:00	61	1.0	4.0	15.0	43.0	61.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	83	3.44	1004	05/07/2021 00:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	18.22	90	1.5	1007	05/07/2021 02:00	17	1.0	6.0	8.0	13.0	17.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	74	3.09	1004	05/07/2021 02:00	29	1.0	10.0	8.0	21.0	29.0	27.0	2
Cao Bằng	('22.6782', '106.245')	25.22	97	1.48	1005	05/07/2021 02:00	152		0.0	1.0	91.0	152.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	89	1.65	1003	05/07/2021 02:00	22		4.0	22.0	10.0	19.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	91	1.87	1004	05/07/2021 02:00	111	5.0	8.0		71.0	111.0	11.0	1
Hà Nội	('21.0491', '105.8831')	30.01	81	3.16	1003	05/07/2021 02:00	17	1.0	11.0	17.0	10.0	14.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	84	3.45	1003	05/07/2021 02:00	64	1.0	10.0	15.0	43.0	64.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	84	3.45	1003	05/07/2021 01:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	18.51	89	1.52	1007	05/07/2021 03:00	18	1.0	6.0	7.0	13.0	18.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	26.0	78	1.54	1004	05/07/2021 03:00	32	1.0	11.0	8.0	21.0	32.0	28.0	2
Cao Bằng	('22.6782', '106.245')	25.05	98	1.38	1006	05/07/2021 03:00	153		0.0	1.0	91.0	153.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	90	1.35	1004	05/07/2021 03:00	21		3.0	21.0	8.0	17.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	91	1.72	1004	05/07/2021 03:00	86	4.0	9.0		60.0	86.0	9.0	1
Hà Nội	('21.0491', '105.8831')	30.01	82	2.82	1003	05/07/2021 03:00	16	2.0	11.0	16.0	11.0	16.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	84	3.08	1004	05/07/2021 03:00	75	1.0	14.0	14.0	48.0	75.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	84	3.08	1004	05/07/2021 02:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	18.31	89	1.13	1008	05/07/2021 04:00	17	1.0	5.0	7.0	13.0	17.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	74	2.06	1005	05/07/2021 04:00	31	1.0	11.0	8.0	21.0	31.0	29.0	2
Cao Bằng	('22.6782', '106.245')	24.92	98	1.16	1006	05/07/2021 04:00	153		0.0	1.0	91.0	153.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	91	1.01	1004	05/07/2021 04:00	16		2.0	16.0	8.0	15.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	92	1.44	1005	05/07/2021 04:00	77	5.0	12.0		56.0	77.0	9.0	1
Hà Nội	('21.0491', '105.8831')	30.01	83	2.46	1004	05/07/2021 04:00	18	2.0	11.0	16.0	12.0	18.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	85	2.82	1004	05/07/2021 04:00	81	1.0	6.0	13.0	51.0	81.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	85	2.82	1004	05/07/2021 03:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	18.93	88	1.62	1008	05/07/2021 05:00	19	2.0	8.0	5.0	15.0	19.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	74	2.06	1005	05/07/2021 05:00	33	2.0	10.0	6.0	22.0	33.0	31.0	2
Cao Bằng	('22.6782', '106.245')	25.39	97	1.1	1007	05/07/2021 05:00	144		0.0	1.0	87.0	144.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	90	0.66	1005	05/07/2021 05:00	17		2.0	12.0	9.0	17.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	90	1.35	1005	05/07/2021 05:00	71	5.0	12.0		55.0	71.0	8.0	1
Hà Nội	('21.0491', '105.8831')	30.01	82	2.26	1005	05/07/2021 05:00	23	6.0	11.0	23.0	14.0	21.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	84	2.61	1005	05/07/2021 05:00	91	1.0	10.0	14.0	53.0	91.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	84	2.61	1005	05/07/2021 04:00	61	8.0		20.0	1.0	3.0	61.0	1
Gia Lai	('13.998599', '107.996482')	21.72	80	0.74	1008	05/07/2021 06:00	23	3.0	10.0	4.0	18.0	23.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	69	1.03	1006	05/07/2021 06:00	34	2.0	11.0	6.0	24.0	34.0	31.0	2
Cao Bằng	('22.6782', '106.245')	26.76	93	1.34	1007	05/07/2021 06:00	124		0.0	1.0	83.0	124.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	83	1.56	1005	05/07/2021 06:00	19		2.0	14.0	10.0	19.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	81	1.73	1006	05/07/2021 06:00	61	5.0	11.0		53.0	61.0	7.0	1
Hà Nội	('21.0491', '105.8831')	30.01	74	3.09	1005	05/07/2021 06:00	23	6.0	11.0	23.0	14.0	21.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	74	3.66	1005	05/07/2021 06:00	92	2.0	10.0	11.0	56.0	92.0	31.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	74	3.66	1005	05/07/2021 05:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	22.72	76	0.54	1008	05/07/2021 07:00	31	5.0	11.0	3.0	27.0	31.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	69	0.74	1006	05/07/2021 07:00	37	8.0	11.0	9.0	35.0	37.0	31.0	2
Cao Bằng	('22.6782', '106.245')	26.76	93	1.34	1007	05/07/2021 07:00	113		0.0	1.0	101.0	113.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	29.92	83	1.56	1005	05/07/2021 07:00	21		2.0	10.0	11.0	21.0		1
Thái Nguyên	('21.593151', '105.8431043')	29.88	81	1.73	1006	05/07/2021 07:00	51	7.0	13.0		49.0	51.0	7.0	1
Hà Nội	('21.0491', '105.8831')	30.01	74	3.09	1005	05/07/2021 07:00	27	11.0	11.0	27.0	15.0	21.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.06	74	3.66	1005	05/07/2021 07:00	95	3.0	23.0	9.0	62.0	95.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	30.06	74	3.66	1005	05/07/2021 06:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	23.98	73	0.36	1009	05/07/2021 08:00	38	5.0	10.0	5.0	38.0	35.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	70	0.0	1006	05/07/2021 08:00	37	8.0	11.0	9.0	35.0	37.0	31.0	2
Cao Bằng	('22.6782', '106.245')	28.55	81	1.65	1007	05/07/2021 08:00	110		0.0	1.0	100.0	110.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	77	1.82	1006	05/07/2021 08:00	22		2.0	14.0	12.0	22.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	74	2.76	1006	05/07/2021 08:00	42	7.0	9.0		40.0	42.0	6.0	1
Hà Nội	('21.0491', '105.8831')	31.01	64	3.72	1005	05/07/2021 08:00	30	12.0	11.0	30.0	17.0	21.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	64	4.6	1006	05/07/2021 08:00	91	3.0	20.0	10.0	64.0	91.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	64	4.6	1006	05/07/2021 07:00	62	9.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	29.44	53	0.83	1008	05/07/2021 09:00	42	3.0	8.0	8.0	42.0	36.0	14.0	2
Ðà Nẵng	('16.074', '108.217')	29.44	53	0.83	1008	05/07/2021 09:00	46	15.0	11.0	14.0	46.0	46.0	33.0	2
Cao Bằng	('22.6782', '106.245')	31.01	67	2.72	1007	05/07/2021 09:00	96		0.0	1.0	96.0	95.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	32.0	55	1.03	1006	05/07/2021 09:00	22		3.0	13.0	12.0	22.0		1
Thái Nguyên	('21.593151', '105.8431043')	31.88	70	3.97	1006	05/07/2021 09:00	44	6.0	7.0		37.0	44.0	7.0	1
Hà Nội	('21.0491', '105.8831')	32.01	51	4.76	1005	05/07/2021 09:00	27	10.0	11.0	27.0	16.0	18.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	32.06	53	5.57	1005	05/07/2021 09:00	87	2.0	16.0	13.0	62.0	87.0	32.0	1
Quảng Ninh	('21.006517', '107.344252')	32.06	53	5.57	1005	05/07/2021 08:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	20.35	99	1.7	1007	06/07/2021 00:00	15	1.0	5.0	10.0	9.0	11.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	79	0.51	1003	06/07/2021 00:00	32	2.0	11.0	13.0	18.0	32.0	28.0	2
Cao Bằng	('22.6782', '106.245')	25.03	97	0.55	1006	06/07/2021 00:00	86		0.0	1.0	86.0	79.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	28.92	86	2.08	1004	06/07/2021 00:00	23		7.0	23.0	9.0	15.0		1
Thái Nguyên	('21.593151', '105.8431043')	28.88	87	1.17	1005	06/07/2021 00:00	78	9.0	11.0		55.0	78.0	7.0	1
Hà Nội	('21.0491', '105.8831')	29.01	81	2.3	1004	06/07/2021 00:00	21	6.0	11.0	12.0	16.0	21.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.06	83	2.05	1004	06/07/2021 00:00	69	1.0	5.0	13.0	53.0	69.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	29.06	83	2.05	1004	05/07/2021 23:00	61	8.0		20.0	1.0	2.0	61.0	1
Gia Lai	('13.998599', '107.996482')	20.3	99	3.09	1007	06/07/2021 01:00	15	1.0	4.0	11.0	7.0	9.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	78	1.54	1003	06/07/2021 01:00	41	1.0	11.0	12.0	24.0	41.0	27.0	2
Cao Bằng	('22.6782', '106.245')	24.95	97	0.45	1006	06/07/2021 01:00	76		0.0	1.0	76.0	75.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	28.92	85	2.05	1004	06/07/2021 01:00	27		6.0	27.0	9.0	16.0		1
Thái Nguyên	('21.593151', '105.8431043')	28.88	88	1.0	1005	06/07/2021 01:00	94	7.0	11.0		59.0	94.0	6.0	1
Hà Nội	('21.0491', '105.8831')	29.01	83	2.31	1004	06/07/2021 01:00	25	5.0	11.0	21.0	19.0	25.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.06	85	2.13	1004	06/07/2021 01:00	73	1.0	5.0	12.0	51.0	73.0	33.0	1
Quảng Ninh	('21.006517', '107.344252')	29.06	85	2.13	1004	06/07/2021 00:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	20.15	99	2.58	1007	06/07/2021 02:00	15	1.0	3.0	13.0	6.0	6.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	78	1.54	1003	06/07/2021 02:00	40	1.0	11.0	13.0	23.0	40.0	27.0	2
Cao Bằng	('22.6782', '106.245')	24.66	98	0.6	1005	06/07/2021 02:00	77		0.0	1.0	72.0	77.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	27.92	87	1.53	1004	06/07/2021 02:00	22		6.0	22.0	10.0	18.0		1
Thái Nguyên	('21.593151', '105.8431043')	27.88	90	1.01	1004	06/07/2021 02:00	109	7.0	10.0		62.0	109.0	5.0	1
Hà Nội	('21.0491', '105.8831')	28.01	84	2.2	1004	06/07/2021 02:00	26	4.0	11.0	26.0	19.0	26.0	8.0	1
Bắc Ninh	('21.1527453', '106.111371')	28.06	85	2.01	1004	06/07/2021 02:00	92	1.0	14.0	10.0	56.0	92.0	34.0	1
Quảng Ninh	('21.006517', '107.344252')	28.06	85	2.01	1004	06/07/2021 01:00	62	8.0		20.0	1.0	2.0	62.0	1
Gia Lai	('13.998599', '107.996482')	21.74	95	1.79	1008	06/07/2021 08:00	15	4.0	9.0	9.0	15.0	13.0	15.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	89	4.63	1006	06/07/2021 08:00	43	2.0	11.0	13.0	28.0	43.0	29.0	2
Cao Bằng	('22.6782', '106.245')	30.13	67	1.61	1007	06/07/2021 08:00	112		0.0	1.0	112.0	90.0	1.0	1
Phú Thọ	('21.33847', '105.3673')	30.92	68	2.42	1005	06/07/2021 08:00	24		5.0	17.0	12.0	24.0		1
Thái Nguyên	('21.593151', '105.8431043')	30.88	67	2.47	1005	06/07/2021 08:00	96	8.0	8.0		57.0	96.0	6.0	1
Hà Nội	('21.0491', '105.8831')	31.01	59	3.29	1005	06/07/2021 08:00	43	17.0	11.0	24.0	30.0	43.0	9.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.06	60	3.12	1005	06/07/2021 08:00	83	3.0	28.0	8.0	61.0	83.0	46.0	1
Quảng Ninh	('21.006517', '107.344252')	31.06	60	3.12	1005	06/07/2021 07:00	64	8.0		20.0				1
Bắc Ninh	('21.1527453', '106.111371')	31.06	62	2.97	1004	04/07/2021 07:00	88	1.0	10.0	13.0	54.0	88.0	32.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.46	61	2.95	1004	04/07/2021 06:00	88	1.0	6.0	12.0	53.0	88.0	31.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.8	61	3.01	1003	04/07/2021 05:00	87	1.0	12.0	13.0	52.0	87.0	31.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.36	62	2.31	1002	04/07/2021 04:00	81	1.0	7.0	13.0	51.0	81.0	32.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.36	61	2.51	1002	04/07/2021 03:00	91	1.0	13.0	14.0	54.0	91.0	33.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.14	60	4.63	1002	04/07/2021 02:00	89	1.0	18.0	13.0	54.0	89.0	33.0	1
Bắc Ninh	('21.1527453', '106.111371')	28.14	50	5.5	1002	05/07/2021 14:00	55	1.0	3.0	15.0	55.0	40.0	32.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.14	52	5.2	1001	05/07/2021 13:00	72	1.0	8.0	12.0	72.0	53.0	31.0	1
Bắc Ninh	('21.1527453', '106.111371')	31.14	65	2.12	1005	06/07/2021 07:00	90	3.0	21.0	7.0	60.0	90.0	38.0	1
Bắc Ninh	('21.1527453', '106.111371')	30.14	68	2.65	1004	06/07/2021 06:00	73	2.0	17.0	7.0	54.0	73.0	37.0	1
Bắc Ninh	('21.1527453', '106.111371')	29.14	72	3.12	1003	06/07/2021 05:00	65	1.0	25.0	5.0	54.0	65.0	41.0	1
Bắc Ninh	('21.1527453', '106.111371')	28.14	77	3.52	1004	06/07/2021 04:00	79	1.0	26.0	6.0	58.0	79.0	37.0	1
Bắc Ninh	('21.1527453', '106.111371')	28.14	79	2.15	1005	06/07/2021 03:00	90	2.0	22.0	6.0	59.0	90.0	36.0	1
Bắc Ninh	('21.1527453', '106.111371')	35.16	57	6.48	1002	06/07/2021 18:00	42	1.0	4.0	15.0	36.0	42.0	37.0	1
Bắc Ninh	('21.1527453', '106.111371')	34.16	54	6.55	1005	06/07/2021 17:00	53	1.0	4.0	15.0	44.0	53.0	39.0	1
Cao Bằng	('22.6782', '106.245')	29.91	74	1.58	1005	04/07/2021 07:00	81		1.0	0.0	80.0	81.0	1.0	1
Cao Bằng	('22.6782', '106.245')	28.91	79	1.42	1004	04/07/2021 06:00	79		1.0	0.0	68.0	79.0	1.0	1
Cao Bằng	('22.6782', '106.245')	27.51	83	1.85	1003	04/07/2021 05:00	69		1.0	0.0	62.0	69.0	1.0	1
Cao Bằng	('22.6782', '106.245')	25.01	85	1.53	1004	04/07/2021 04:00	72		1.0	0.0	64.0	72.0	1.0	1
Cao Bằng	('22.6782', '106.245')	25.91	92	1.53	1003	04/07/2021 03:00	73		1.0	0.0	64.0	73.0	1.0	1
Cao Bằng	('22.6782', '106.245')	25.31	94	1.08	1003	04/07/2021 02:00	73		1.0	0.0	66.0	73.0	1.0	1
Cao Bằng	('22.6782', '106.245')	30.22	76	3.55	1003	05/07/2021 14:00	71		1.0	0.0	71.0	64.0	1.0	1
Cao Bằng	('22.6782', '106.245')	29.95	79	3.05	1004	05/07/2021 13:00	77		1.0	0.0	77.0	73.0	1.0	1
Cao Bằng	('22.6782', '106.245')	29.95	72	1.63	1005	06/07/2021 07:00	88		1.0	0.0	88.0	85.0	1.0	1
Cao Bằng	('22.6782', '106.245')	27.15	78	2.05	1004	06/07/2021 06:00	82		1.0	0.0	74.0	82.0	1.0	1
Cao Bằng	('22.6782', '106.245')	26.35	86	0.25	1005	06/07/2021 05:00	80		1.0	0.0	65.0	80.0	1.0	1
Cao Bằng	('22.6782', '106.245')	24.95	92	0.95	1004	06/07/2021 04:00	77		1.0	0.0	66.0	77.0	1.0	1
Cao Bằng	('22.6782', '106.245')	24.66	95	1.05	1004	06/07/2021 03:00	74		1.0	0.0	67.0	74.0	1.0	1
Cao Bằng	('22.6782', '106.245')	28.92	73	1.46	1004	06/07/2021 18:00	123		2.0	0.0	123.0	86.0	1.0	1
Cao Bằng	('22.6782', '106.245')	30.85	64	1.05	1003	06/07/2021 17:00	90		2.0	0.0	90.0	53.0	1.0	1
Ðà Nẵng	('16.074', '108.217')	32.0	69	1.53	1006	04/07/2021 07:00	38	5.0	10.0	6.0	29.0	38.0	31.0	2
Ðà Nẵng	('16.074', '108.217')	30.0	69	1.52	1006	04/07/2021 06:00	32	3.0	11.0	6.0	21.0	32.0	30.0	2
Ðà Nẵng	('16.074', '108.217')	29.0	72	1.54	1005	04/07/2021 05:00	29	1.0	10.0	6.0	19.0	27.0	29.0	2
Ðà Nẵng	('16.074', '108.217')	28.0	73	1.32	1005	04/07/2021 04:00	31	1.0	10.0	8.0	17.0	24.0	31.0	2
Ðà Nẵng	('16.074', '108.217')	27.0	75	1.61	1005	04/07/2021 03:00	29	1.0	10.0	8.0	17.0	22.0	29.0	2
